+------+--------+---------------+---------+
| hour | minute | license_plate |  name   |
+------+--------+---------------+---------+
| 10   | 16     | 5P2BI95       | Vanessa |
| 10   | 18     | 94KL13X       | Bruce   |
| 10   | 18     | 6P58WS2       | Barry   |
| 10   | 19     | 4328GD8       | Luca    |
| 10   | 20     | G412CB7       | Sofia   |
| 10   | 21     | L93JTIZ       | Iman    |
| 10   | 23     | 322W7JE       | Diana   |
| 10   | 23     | 0NTHK55       | Kelsey  |
+------+--------+---------------+---------+
